sample_id	family_ncbi	phylum_ncbi	comm_id	rela_fam_comm
1011247	Bifidobacteriaceae	Actinomycetota	1	0.10910324390515706
1011247	Christensenellaceae	Bacillota	1	4.2791067295248203e-4
1011247	Clostridiaceae	Bacillota	1	0.10075496102784978
1011247	Coriobacteriaceae	Actinomycetota	1	0.02073603467961936
1011247	Coriobacteriaceae	Actinomycetota	1	0.0020033645146572522
1011247	Desulfovibrionaceae	Pseudomonadota	1	0.003062827011223106
1011247	Eggerthellaceae	Actinomycetota	1	0.005898142623508595
1011247	Erysipelotrichaceae	Bacillota	1	0.00911727200903584
1011247	Eubacteriaceae	Bacillota	1	0.030033002775839618
1011247	Eubacteriales Family XIII. Incertae Sedis	Bacillota	1	7.233732117734277e-4
1011247	Fusobacteriaceae	Fusobacteriota	6	0
1011247	Hydrogenophilaceae	Pseudomonadota	6	0.1704314521991321
1011247	Lachnospiraceae	Bacillota	1	0.061766219297470094
1011247	Lachnospiraceae	Bacillota	6	0.0025447900306893893
1011247	Lactobacillaceae	Bacillota	1	0.002504926476419139
1011247	Methanobacteriaceae	Euryarchaeota	1	0.03257597885798454
1011247	Moraxellaceae	Pseudomonadota	1	0
1011247	Mycoplasmataceae	Mycoplasmatota	1	0.0019747429265014713
1011247	Odoribacteraceae	Bacteroidota	6	0
1011247	Oscillospiraceae	Bacillota	1	0.012239960592434936
1011247	Oscillospiraceae	Bacillota	6	0.008366258171247655
1011247	Peptostreptococcaceae	Bacillota	1	0.0010861833215330585
1011247	Prevotellaceae	Bacteroidota	1	1.960492031659977e-4
1011247	Prevotellaceae	Bacteroidota	6	0.2945928380438284
1011247	Rhodospirillaceae	Pseudomonadota	6	0.03445797294505863
1011247	Rikenellaceae	Bacteroidota	6	0.16280331227673833
1011247	Selenomonadaceae	Bacillota	1	0.0034948167651375596
1011247	Spirochaetaceae	Spirochaetota	6	0.0018690994497416705
1011247	Streptococcaceae	Bacillota	1	0.021723281077246564
1011247	Succinivibrionaceae	Pseudomonadota	1	0.0027626454075260665
1011247	Sutterellaceae	Pseudomonadota	1	0.0013491168743240216
1011247	Sutterellaceae	Pseudomonadota	6	0.03330594784964931
1011247	Tannerellaceae	Bacteroidota	6	0.024951117311021065
1011247	Veillonellaceae	Bacillota	1	0.05942183671282151
1011248	Acetobacteraceae	Pseudomonadota	6	0
1011248	Acidaminococcaceae	Bacillota	1	0.020991482967511195
1011248	Acidaminococcaceae	Bacillota	6	0.022086462617337568
1011248	Atopobiaceae	Actinomycetota	1	0
1011248	Bacteroidaceae	Bacteroidota	6	0.14938018089896354
1011248	Barnesiellaceae	Bacteroidota	6	0
1011248	Bifidobacteriaceae	Actinomycetota	1	0.1403853108819275
1011248	Christensenellaceae	Bacillota	1	0
1011248	Clostridiaceae	Bacillota	1	0.07920988645433635
1011248	Coriobacteriaceae	Actinomycetota	1	0.02032077623152907
1011248	Coriobacteriaceae	Actinomycetota	1	9.894053104779032e-4
1011248	Desulfovibrionaceae	Pseudomonadota	1	0.012552997798670574
1011248	Eggerthellaceae	Actinomycetota	1	0.005287405574153019
1011248	Erysipelotrichaceae	Bacillota	1	0.0028666046209862043
1011248	Eubacteriaceae	Bacillota	1	0.02710264983555533
1011248	Eubacteriales Family XIII. Incertae Sedis	Bacillota	1	0
1011248	Fusobacteriaceae	Fusobacteriota	6	0
1011248	Hydrogenophilaceae	Pseudomonadota	6	0.046826991126830676
1011248	Lachnospiraceae	Bacillota	1	0.04362266330771054
1011248	Lachnospiraceae	Bacillota	6	0
1011248	Lactobacillaceae	Bacillota	1	0.018000133010782574
1011248	Methanobacteriaceae	Euryarchaeota	1	0.0010305985213898646
1011248	Moraxellaceae	Pseudomonadota	1	0
1011248	Mycoplasmataceae	Mycoplasmatota	1	0.009381346570536287
1011248	Odoribacteraceae	Bacteroidota	6	0
1011248	Oscillospiraceae	Bacillota	1	0.001282875022046021
1011248	Oscillospiraceae	Bacillota	6	0
1011248	Peptostreptococcaceae	Bacillota	1	0.0028901922802538425
1011248	Prevotellaceae	Bacteroidota	1	0.0012382086516716875
1011248	Prevotellaceae	Bacteroidota	6	0.2938402278772333
1011248	Rhodospirillaceae	Pseudomonadota	6	0
1011248	Rikenellaceae	Bacteroidota	6	0.21167987742890768
1011248	Selenomonadaceae	Bacillota	1	0.0015047189106079145
1011248	Spirochaetaceae	Spirochaetota	6	0
1011248	Streptococcaceae	Bacillota	1	0.027300744828000413
1011248	Succinivibrionaceae	Pseudomonadota	1	0
1011248	Sutterellaceae	Pseudomonadota	1	0.006592976278782353
1011248	Sutterellaceae	Pseudomonadota	6	0.10171392828808337
1011248	Tannerellaceae	Bacteroidota	6	0.016979720474024566
1011248	Veillonellaceae	Bacillota	1	0.17295647119191251
1011251	Acetobacteraceae	Pseudomonadota	6	0.004924278169897536
1011251	Acidaminococcaceae	Bacillota	1	0.011859679142960954
1011251	Acidaminococcaceae	Bacillota	6	0.00938021424707126
1011251	Atopobiaceae	Actinomycetota	1	0.0012340872665994314
1011251	Bacteroidaceae	Bacteroidota	6	0.15875527317093446
1011251	Barnesiellaceae	Bacteroidota	6	0.017908447979308437
1011251	Bifidobacteriaceae	Actinomycetota	1	0.07164640787034096
1011251	Christensenellaceae	Bacillota	1	0.001024895235099858
1011251	Clostridiaceae	Bacillota	1	0.09873224064295427
1011251	Coriobacteriaceae	Actinomycetota	1	0.009035382447842173
1011251	Coriobacteriaceae	Actinomycetota	1	0.002598970349634421
1011251	Desulfovibrionaceae	Pseudomonadota	1	0.003795681882163657
1011251	Eggerthellaceae	Actinomycetota	1	0.0038877547006803907
1011251	Erysipelotrichaceae	Bacillota	1	0.008923005069176615
1011251	Eubacteriaceae	Bacillota	1	0.04331114130036431
1011251	Eubacteriales Family XIII. Incertae Sedis	Bacillota	1	0
1011251	Fusobacteriaceae	Fusobacteriota	6	0
1011251	Hydrogenophilaceae	Pseudomonadota	6	0.019637444488022893
1011251	Lachnospiraceae	Bacillota	1	0.0748632483939229
1011251	Lachnospiraceae	Bacillota	6	0.0033371510822070233
